ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301511.SZ,20260319,39.21,39.21,36.68,36.95,39.25,-2.3,-5.8599,259314.79,973802.975
301511.SZ,20260318,39.46,40.1,31.6,39.25,38.85,0.4,1.0296,244103.64,952237.811
301511.SZ,20260317,40.85,41.0,38.81,38.85,40.89,-2.04,-4.989,365920.82,1442785.016
301511.SZ,20260316,39.62,41.41,38.83,40.89,39.28,1.61,4.0988,423347.93,1707601.922
301511.SZ,20260313,40.17,40.69,38.72,39.28,40.2,-0.92,-2.2886,320860.02,1270386.688
301511.SZ,20260312,42.41,42.5,39.55,40.2,39.4,0.8,2.0305,583558.59,2382237.465
301511.SZ,20260311,36.76,41.0,36.1,39.4,35.69,3.71,10.3951,751586.05,2904012.386
301511.SZ,20260310,34.51,36.21,33.81,35.69,33.5,2.19,6.5373,339600.64,1194264.764
301511.SZ,20260309,34.89,35.0,32.05,33.5,35.48,-1.98,-5.5806,323166.39,1066723.615
301511.SZ,20260306,34.88,35.99,34.3,35.48,35.3,0.18,0.5099,241183.58,848499.761
301511.SZ,20260305,36.99,37.18,34.84,35.3,35.87,-0.57,-1.5891,300377.88,1065704.506
301511.SZ,20260304,36.71,37.29,35.7,35.87,37.45,-1.58,-4.219,358448.87,1302380.191
301511.SZ,20260303,39.1,39.45,37.28,37.45,38.06,-0.61,-1.6027,436870.4,1671463.638
301511.SZ,20260302,38.01,39.87,37.4,38.06,37.78,0.28,0.7411,561179.4,2163666.608
301511.SZ,20260227,36.33,38.08,36.28,37.78,37.77,0.01,0.0265,532359.5,1973678.182
301511.SZ,20260226,36.3,38.14,36.23,37.77,36.89,0.88,2.3855,642007.73,2402541.235
301511.SZ,20260225,33.7,36.96,33.7,36.89,33.16,3.73,11.2485,867948.99,3142538.761
301511.SZ,20260224,31.82,34.25,31.6,33.16,31.19,1.97,6.3161,490121.47,1618293.332
301511.SZ,20260213,30.73,31.96,30.73,31.19,31.33,-0.14,-0.4469,268524.21,843874.9
301511.SZ,20260212,29.4,31.84,29.28,31.33,29.56,1.77,5.9878,398013.05,1229292.841
301511.SZ,20260211,29.28,29.95,29.25,29.56,29.14,0.42,1.4413,166533.81,494655.801
301511.SZ,20260210,29.12,29.73,28.99,29.14,29.12,0.02,0.0687,120961.63,355353.064
301511.SZ,20260209,28.77,29.18,28.63,29.12,28.39,0.73,2.5713,117352.0,340029.447
301511.SZ,20260206,28.17,28.77,27.86,28.39,28.44,-0.05,-0.1758,100170.29,284228.498
301511.SZ,20260205,28.98,29.06,28.35,28.44,29.14,-0.7,-2.4022,98546.16,281822.695
301511.SZ,20260204,29.2,29.28,28.65,29.14,29.27,-0.13,-0.4441,100094.4,289576.784
301511.SZ,20260203,29.2,29.32,28.72,29.27,28.71,0.56,1.9505,97252.22,282934.232
301511.SZ,20260202,29.65,29.98,28.66,28.71,29.69,-0.98,-3.3008,129694.2,379680.514
301511.SZ,20260130,29.03,29.79,28.49,29.69,29.35,0.34,1.1584,151637.92,443171.481
301511.SZ,20260129,30.24,30.3,29.3,29.35,30.24,-0.89,-2.9431,170678.58,507282.709
301511.SZ,20260128,30.5,30.58,30.01,30.24,30.5,-0.26,-0.8525,118812.74,359505.728
301511.SZ,20260127,30.6,30.77,29.5,30.5,30.55,-0.05,-0.1637,159690.45,480732.121
301511.SZ,20260126,31.21,31.43,30.36,30.55,31.25,-0.7,-2.24,165700.94,510031.068
301511.SZ,20260123,31.56,31.56,31.0,31.25,31.2,0.05,0.1603,205287.48,640841.576
301511.SZ,20260122,31.36,31.8,30.9,31.2,31.03,0.17,0.5479,183999.37,574762.929
301511.SZ,20260121,30.4,31.05,30.3,31.03,30.66,0.37,1.2068,148642.24,458016.911
301511.SZ,20260120,31.5,31.6,30.46,30.66,31.34,-0.68,-2.1698,194469.49,598894.633
301511.SZ,20260119,31.45,31.65,31.26,31.34,31.63,-0.29,-0.9169,159104.8,499719.545
301511.SZ,20260116,31.99,32.31,31.33,31.63,31.48,0.15,0.4765,231972.27,735167.495
301511.SZ,20260115,30.38,31.59,30.28,31.48,30.72,0.76,2.474,299004.0,935369.208
301511.SZ,20260114,30.3,31.19,30.3,30.72,30.29,0.43,1.4196,299404.08,919967.91
301511.SZ,20260113,32.0,32.0,30.27,30.29,32.26,-1.97,-6.1066,558553.0,1726561.316
301511.SZ,20260112,31.44,32.71,31.08,32.26,35.49,-3.23,-9.1012,806893.36,2559533.97
301511.SZ,20260109,35.0,36.25,34.49,35.49,35.85,-0.36,-1.0042,349301.09,1237985.581
301511.SZ,20260108,36.57,37.21,35.47,35.85,36.98,-1.13,-3.0557,373834.58,1356533.83
301511.SZ,20260107,35.8,37.29,35.66,36.98,36.94,0.04,0.1083,342230.53,1250402.214
301511.SZ,20260106,38.0,38.51,36.69,36.94,36.63,0.31,0.8463,443421.95,1662306.165
301511.SZ,20260105,35.8,36.83,35.39,36.63,35.79,0.84,2.347,314959.35,1139649.308
301511.SZ,20251231,36.57,36.98,35.54,35.79,36.9,-1.11,-3.0081,291809.15,1053768.397
301511.SZ,20251230,37.31,37.84,36.2,36.9,37.85,-0.95,-2.5099,351705.88,1298213.115
301511.SZ,20251229,39.0,39.06,37.01,37.85,38.59,-0.74,-1.9176,354237.54,1340819.317
301511.SZ,20251226,38.97,40.18,38.2,38.59,39.07,-0.48,-1.2286,476253.53,1853578.618
