ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001309.SZ,20260121,278.43,288.98,275.8,285.16,279.94,5.22,1.8647,125689.8,3563226.773
001309.SZ,20260120,265.86,285.0,265.85,279.94,272.0,7.94,2.9191,131269.94,3631924.221
001309.SZ,20260119,270.3,275.0,264.0,272.0,273.03,-1.03,-0.3772,125138.0,3379008.531
001309.SZ,20260116,258.0,279.0,253.0,273.03,254.02,19.01,7.4837,193334.89,5181019.961
001309.SZ,20260115,235.0,259.77,232.0,254.02,238.98,15.04,6.2934,150194.17,3689915.578
001309.SZ,20260114,242.0,248.0,234.61,238.98,233.0,5.98,2.5665,143116.82,3461873.268
001309.SZ,20260113,237.6,242.38,229.5,233.0,239.99,-6.99,-2.9126,108421.59,2536901.291
001309.SZ,20260112,238.5,241.61,233.5,239.99,235.05,4.94,2.1017,122735.18,2910154.436
001309.SZ,20260109,236.66,237.35,230.0,235.05,239.81,-4.76,-1.9849,109165.15,2554571.173
001309.SZ,20260108,248.25,251.5,238.84,239.81,250.0,-10.19,-4.076,143625.22,3503131.714
001309.SZ,20260107,279.98,280.78,244.5,250.0,255.48,-5.48,-2.145,234553.05,6121806.013
001309.SZ,20260106,246.0,261.0,241.0,255.48,249.9,5.58,2.2329,170856.27,4292512.886
001309.SZ,20260105,244.09,253.0,243.0,249.9,231.89,18.01,7.7666,181995.91,4518636.336
001309.SZ,20251231,238.38,240.6,228.0,231.89,240.67,-8.78,-3.6481,125035.2,2904547.582
001309.SZ,20251230,244.29,250.5,238.38,240.67,240.76,-0.09,-0.0374,148627.77,3615756.044
001309.SZ,20251229,239.2,253.8,239.0,240.76,239.0,1.76,0.7364,234264.52,5766047.696
001309.SZ,20251226,213.01,239.0,213.01,239.0,217.27,21.73,10.0014,263127.52,6187180.275
